country,level_pair,parent_level,child_level,parent_count,child_count,parents_with_children,parents_without_children,parents_with_gaps,gap_piece_count,total_gap_area,child_without_parent_link,child_parent_not_found,operation_errors
Afghanistan,0-1,0,1,1,34,1,0,0,0,0.0,0,0,0
Afghanistan,1-2,1,2,34,401,34,0,0,0,0.0,0,0,0
Albania,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Albania,1-2,1,2,12,61,12,0,0,0,0.0,0,0,0
Algeria,0-1,0,1,1,48,1,0,0,0,0.0,0,0,0
Algeria,1-2,1,2,48,1541,48,0,0,0,0.0,0,0,0
Argentina,0-1,0,1,1,24,1,0,0,0,0.0,0,0,0
Argentina,1-2,1,2,24,526,24,0,0,0,0.0,0,0,0
Armenia,0-1,0,1,1,11,1,0,0,0,0.0,0,0,0
Armenia,1-2,1,2,11,40,11,0,0,0,0.0,0,0,0
Australia,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Australia,1-2,1,2,10,2452,10,0,0,0,0.0,0,0,0
Azerbaijan,0-1,0,1,1,14,1,0,0,0,0.0,0,0,0
Azerbaijan,1-2,1,2,14,74,14,0,0,0,0.0,0,0,0
Bangladesh,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
Bangladesh,1-2,1,2,8,64,8,0,0,0,0.0,0,0,0
Belarus,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Belarus,1-2,1,2,7,119,7,0,0,0,0.0,0,0,0
Belgium,0-1,0,1,1,3,1,0,0,0,0.0,0,0,0
Belgium,1-2,1,2,3,11,3,0,0,0,0.0,0,0,0
Belize,0-1,0,1,0,6,0,0,0,0,0.0,0,6,0
Belize,1-2,1,2,6,30,2,4,4,5,1.2116578226041839,0,16,0
Benin,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Benin,1-2,1,2,12,77,12,0,0,0,0.0,0,0,0
Bhutan,0-1,0,1,1,20,1,0,0,0,0.0,0,0,0
Bhutan,1-2,1,2,20,205,20,0,0,0,0.0,0,0,0
Bolivia,0-1,0,1,1,9,1,0,0,0,0.0,0,0,0
Bolivia,1-2,1,2,9,112,9,0,0,0,0.0,0,0,0
Bosnia and Herzegovina,0-1,0,1,1,3,1,0,0,0,0.0,0,0,0
Bosnia and Herzegovina,1-2,1,2,3,12,3,0,0,0,0.0,0,0,0
Brazil,0-1,0,1,1,27,1,0,0,0,0.0,0,0,0
Brazil,1-2,1,2,27,5570,27,0,0,0,0.0,0,0,0
Bulgaria,0-1,0,1,1,28,1,0,0,0,0.0,0,0,0
Bulgaria,1-2,1,2,28,265,28,0,0,0,0.0,0,0,0
Burkina Faso,0-1,0,1,0,13,0,0,0,0,0.0,0,13,0
Burkina Faso,1-2,1,2,13,45,13,0,0,0,0.0,0,0,0
Cabo Verde,0-1,0,1,1,9,1,0,0,0,0.0,0,0,0
Cabo Verde,1-2,1,2,9,22,9,0,0,0,0.0,0,0,0
Cambodia,0-1,0,1,1,26,1,0,0,0,0.0,0,0,0
Cambodia,1-2,1,2,26,198,26,0,0,0,0.0,0,0,0
Cameroon,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Cameroon,1-2,1,2,10,58,10,0,0,0,0.0,0,0,0
Canada,0-1,0,1,1,13,1,0,0,0,0.0,0,0,0
Canada,1-2,1,2,13,295,13,0,0,0,0.0,0,0,0
Central African Republic,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Central African Republic,1-2,1,2,7,17,7,0,0,0,0.0,0,0,0
Chile,0-1,0,1,1,16,1,0,0,0,0.0,0,0,0
Chile,1-2,1,2,16,56,16,0,0,0,0.0,0,0,0
China,0-1,0,1,0,31,0,0,0,0,0.0,0,31,0
China,1-2,1,2,31,358,31,0,0,0,0.0,0,0,0
Colombia,0-1,0,1,1,33,1,0,0,0,0.0,0,0,0
Colombia,1-2,1,2,33,1122,33,0,0,0,0.0,0,0,0
Congo,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Congo,1-2,1,2,12,89,12,0,0,0,0.0,0,0,0
Costa Rica,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Costa Rica,1-2,1,2,7,82,7,0,0,0,0.0,0,0,0
Cote d'Ivoire,0-1,0,1,1,14,1,0,0,0,0.0,0,0,0
Cote d'Ivoire,1-2,1,2,14,33,14,0,0,0,0.0,0,0,0
Cuba,0-1,0,1,1,16,1,0,0,0,0.0,0,0,0
Cuba,1-2,1,2,16,169,16,0,0,0,0.0,0,0,0
Czech Republic,0-1,0,1,1,14,1,0,0,0,0.0,0,0,0
Czech Republic,1-2,1,2,14,77,14,0,0,0,0.0,0,0,0
Democratic People's Republic of Korea,0-1,0,1,1,11,1,0,0,0,0.0,0,0,0
Democratic People's Republic of Korea,1-2,1,2,11,179,11,0,0,0,0.0,0,0,0
Democratic Republic of the Congo,0-1,0,1,1,26,1,0,0,0,0.0,0,0,0
Democratic Republic of the Congo,1-2,1,2,26,219,26,0,0,0,0.0,0,0,0
Denmark,0-1,0,1,1,5,1,0,0,0,0.0,0,0,0
Denmark,1-2,1,2,5,99,5,0,0,0,0.0,0,0,0
Ecuador,0-1,0,1,1,24,1,0,0,0,0.0,0,0,0
Ecuador,1-2,1,2,24,221,24,0,0,0,0.0,0,0,0
Egypt,0-1,0,1,1,28,0,1,1,3,88.92451389974771,0,28,0
Egypt,1-2,1,2,28,364,1,27,27,31,88.81655262846438,0,359,0
El Salvador,0-1,0,1,1,14,1,0,0,0,0.0,0,0,0
El Salvador,1-2,1,2,14,44,14,0,0,0,0.0,0,0,0
Equatorial Guinea,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Equatorial Guinea,1-2,1,2,7,32,7,0,0,0,0.0,0,0,0
Eritrea,0-1,0,1,1,6,0,1,1,0,0,0,0.0,0,0,0
Eritrea,1-2,1,2,6,58,0,6,6,0,0,0,0.0,0,0,0
Estonia,0-1,0,1,1,15,1,0,0,0,0.0,0,0,0
Estonia,1-2,1,2,15,79,15,0,0,0,0.0,0,0,0
Ethiopia,0-1,0,1,1,13,1,0,0,0,0.0,0,0,0
Ethiopia,1-2,1,2,13,92,13,0,0,0,0.0,0,0,0
Fiji,0-1,0,1,1,4,1,0,0,0,0.0,0,0,0
Fiji,1-2,1,2,4,15,4,0,0,0,0.0,0,0,0
Finland,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Finland,1-2,1,2,7,19,7,0,0,0,0.0,0,0,0
France,0-1,0,1,1,13,1,0,0,0,0.0,0,0,0
France,1-2,1,2,13,96,13,0,0,0,0.0,0,0,0
Gabon,0-1,0,1,1,9,0,1,1,5,21.375044789220954,0,9,0
Gabon,1-2,1,2,9,48,0,9,9,13,21.375044789220993,0,48,0
Georgia,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Georgia,1-2,1,2,12,74,12,0,0,0,0.0,0,0,0
Germany,0-1,0,1,1,16,1,0,0,0,0.0,0,0,0
Germany,1-2,1,2,16,400,16,0,0,0,0.0,0,0,0
Ghana,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Ghana,1-2,1,2,10,216,10,0,0,0,0.0,0,0,0
Greece,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Greece,1-2,1,2,7,13,7,0,0,0,0.0,0,0,0
Guatemala,0-1,0,1,1,22,1,0,0,0,0.0,0,0,0
Guatemala,1-2,1,2,22,342,22,0,0,0,0.0,0,0,0
Guinea,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
Guinea,1-2,1,2,8,34,8,0,0,0,0.0,0,0,0
Guinea-Bissau,0-1,0,1,1,9,1,0,0,0,0.0,0,0,0
Guinea-Bissau,1-2,1,2,9,39,9,0,0,0,0.0,0,0,0
Guyana,0-1,0,1,1,10,0,1,1,22,17.252787923946293,0,10,0
Guyana,1-2,1,2,10,27,0,10,10,33,17.252787923946325,0,27,0
Honduras,0-1,0,1,1,18,1,0,0,0,0.0,0,0,0
Honduras,1-2,1,2,18,298,18,0,0,0,0.0,0,0,0
Hungary,0-1,0,1,1,20,1,0,0,0,0.0,0,0,0
Hungary,1-2,1,2,20,197,20,0,0,0,0.0,0,0,0
Iceland,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
Iceland,1-2,1,2,8,64,8,0,0,0,0.0,0,0,0
India,0-1,0,1,1,39,1,0,0,0,0.0,0,0,0
India,1-2,1,2,39,722,39,0,0,0,0.0,0,0,0
Indonesia,0-1,0,1,1,34,1,0,0,0,0.0,0,0,0
Indonesia,1-2,1,2,34,522,34,0,0,0,0.0,0,0,0
Iran,0-1,0,1,1,31,1,0,0,0,0.0,0,0,0
Iran,1-2,1,2,31,429,31,0,0,0,0.0,0,0,0
Iraq,0-1,0,1,1,18,1,0,0,0,0.0,0,0,0
Iraq,1-2,1,2,18,101,18,0,0,0,0.0,0,0,0
Italy,0-1,0,1,1,20,1,0,0,0,0.0,0,0,0
Italy,1-2,1,2,20,107,20,0,0,0,0.0,0,0,0
Japan,0-1,0,1,1,47,1,0,0,0,0.0,0,0,0
Japan,1-2,1,2,47,1892,47,0,0,0,0.0,0,0,0
Jordan,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Jordan,1-2,1,2,12,58,12,0,0,0,0.0,0,0,0
Kazakhstan,0-1,0,1,1,20,1,0,0,0,0.0,0,0,0
Kazakhstan,1-2,1,2,20,218,20,0,0,0,0.0,0,0,0
Kenya,0-1,0,1,1,47,0,1,0,0,0,0.0,0,0,0
Kenya,1-2,1,2,47,290,0,0,0,0,0.0,0,0,0
Kiribati,0-1,0,1,1,5,1,0,0,0,0.0,0,0,0
Kiribati,1-2,1,2,5,24,5,0,0,0,0.0,0,0,0
Kyrgyzstan,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Kyrgyzstan,1-2,1,2,7,53,7,0,0,0,0.0,0,0,0
Laos,0-1,0,1,1,18,1,0,0,0,0.0,0,0,0
Laos,1-2,1,2,18,148,18,0,0,0,0.0,0,0,0
Latvia,0-1,0,1,1,5,1,0,0,0,0.0,0,0,0
Latvia,1-2,1,2,5,43,5,0,0,0,0.0,0,0,0
Lebanon,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
Lebanon,1-2,1,2,8,26,8,0,0,0,0.0,0,0,0
Lesotho,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Lesotho,1-2,1,2,10,78,10,0,0,0,0.0,0,0,0
Liberia,0-1,0,1,1,15,1,0,0,0,0.0,0,0,0
Liberia,1-2,1,2,15,136,15,0,0,0,0.0,0,0,0
Libya,0-1,0,1,1,3,1,0,0,0,0.0,0,0,0
Libya,1-2,1,2,3,22,3,0,0,0,0.0,0,0,0
Lithuania,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Lithuania,1-2,1,2,10,60,10,0,0,0,0.0,0,0,0
Madagascar,0-1,0,1,1,6,1,0,0,0,0.0,0,0,0
Madagascar,1-2,1,2,6,23,6,0,0,0,0.0,0,0,0
Malawi,0-1,0,1,1,3,1,0,0,0,0.0,0,0,0
Malawi,1-2,1,2,3,28,3,0,0,0,0.0,0,0,0
Mali,0-1,0,1,1,9,1,0,0,0,0.0,0,0,0
Mali,1-2,1,2,9,55,9,0,0,0,0.0,0,0,0
Malta,0-1,0,1,1,6,1,0,0,0,0.0,0,0,0
Malta,1-2,1,2,6,68,6,0,0,0,0.0,0,0,0
Mauritania,0-1,0,1,1,15,0,1,1,14,89.75038444721325,0,15,0
Mauritania,1-2,1,2,15,63,0,15,15,28,89.75038444721312,0,63,0
Mexico,0-1,0,1,1,32,1,0,0,0,0.0,0,0,0
Mexico,1-2,1,2,32,2463,32,0,0,0,0.0,0,0,0
Micronesia,0-1,0,1,1,4,1,0,0,0,0.0,0,0,0
Micronesia,1-2,1,2,4,75,4,0,0,0,0.0,0,0,0
Moldova,0-1,0,1,1,37,1,0,0,0,0.0,0,0,0
Moldova,1-2,1,2,37,0,0,0,0,0,0.0,0,0,0
Mongolia,0-1,0,1,1,22,1,0,0,0,0.0,0,0,0
Mongolia,1-2,1,2,22,337,22,0,0,0,0.0,0,0,0
Morocco,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Morocco,1-2,1,2,10,69,10,0,0,0,0.0,0,0,0
Mozambique,0-1,0,1,1,11,1,0,0,0,0.0,0,0,0
Mozambique,1-2,1,2,11,155,11,0,0,0,0.0,0,0,0
Myanmar,0-1,0,1,1,3,1,0,0,0,0.0,0,0,0
Myanmar,1-2,1,2,3,18,3,0,0,0,0.0,0,0,0
Namibia,0-1,0,1,1,14,1,0,0,0,0.0,0,0,0
Namibia,1-2,1,2,14,107,14,0,0,0,0.0,0,0,0
Nepal,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Nepal,1-2,1,2,7,77,7,0,0,0,0.0,0,0,0
Netherlands,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Netherlands,1-2,1,2,12,342,12,0,0,0,0.0,0,0,0
New Zealand,0-1,0,1,1,17,1,0,0,0,0.0,0,0,0
New Zealand,1-2,1,2,17,67,17,0,0,0,0.0,0,0,0
Nicaragua,0-1,0,1,1,17,1,0,0,0,0.0,0,0,0
Nicaragua,1-2,1,2,17,153,17,0,0,0,0.0,0,0,0
Niger,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
Niger,1-2,1,2,8,64,8,0,0,0,0.0,0,0,0
Nigeria,0-1,0,1,1,37,1,0,0,0,0.0,0,0,0
Nigeria,1-2,1,2,37,774,37,0,0,0,0.0,0,0,0
North Macedonia,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
North Macedonia,1-2,1,2,8,84,8,0,0,0,0.0,0,0,0
Norway,0-1,0,1,1,15,1,0,0,0,0.0,0,0,0
Norway,1-2,1,2,15,357,15,0,0,0,0.0,0,0,0
Pakistan,0-1,0,1,1,5,1,0,0,0,0.0,0,0,0
Pakistan,1-2,1,2,5,136,5,0,0,0,0.0,0,0,0
Panama,0-1,0,1,1,13,1,0,0,0,0.0,0,0,0
Panama,1-2,1,2,13,76,13,0,0,0,0.0,0,0,0
Papua New Guinea,0-1,0,1,1,22,0,0,0,0,0.0,0,0,0
Papua New Guinea,1-2,1,2,22,87,1,21,0,0,0,0.0,0,0,0
Paraguay,0-1,0,1,1,18,1,0,0,0,0.0,0,0,0
Paraguay,1-2,1,2,18,250,18,0,0,0,0.0,0,0,0
Peru,0-1,0,1,1,25,1,0,0,0,0.0,0,0,0
Peru,1-2,1,2,25,196,25,0,0,0,0.0,0,0,0
Philippines,0-1,0,1,1,17,1,0,0,0,0.0,0,0,0
Philippines,1-2,1,2,17,85,17,0,0,0,0.0,0,0,0
Poland,0-1,0,1,1,16,1,0,0,0,0.0,0,0,0
Poland,1-2,1,2,16,380,16,0,0,0,0.0,0,0,0
Portugal,0-1,0,1,1,25,1,0,0,0,0.0,0,0,0
Portugal,1-2,1,2,25,298,25,0,0,0,0.0,0,0,0
Romania,0-1,0,1,1,42,1,0,0,0,0.0,0,0,0
Romania,1-2,1,2,42,3187,42,0,0,0,0.0,0,0,0
Russian Federation,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
Russian Federation,1-2,1,2,8,83,8,0,0,0,0.0,0,0,0
Rwanda,0-1,0,1,1,5,1,0,0,0,0.0,0,0,0
Rwanda,1-2,1,2,5,30,5,0,0,0,0.0,0,0,0
Saint Helena - Ascension and Tristan da Cunha,0-1,0,1,1,3,1,0,0,0,0.0,0,0,0
Saint Helena - Ascension and Tristan da Cunha,1-2,1,2,3,10,3,0,0,0,0.0,0,0,0
Samoa,0-1,0,1,1,11,0,1,1,4,0.23679733586305335,0,11,0
Samoa,1-2,1,2,11,43,0,11,11,19,0.2367973358630534,0,43,0
Sao Tome and Principe,0-1,0,1,1,2,1,0,0,0,0.0,0,0,0
Sao Tome and Principe,1-2,1,2,2,7,2,0,0,0,0.0,0,0,0
Serbia,0-1,0,1,1,25,1,0,0,0,0.0,0,0,0
Serbia,1-2,1,2,25,161,25,0,0,0,0.0,0,0,0
Sierra Leone,0-1,0,1,1,5,1,0,0,0,0.0,0,0,0
Sierra Leone,1-2,1,2,5,15,5,0,0,0,0.0,0,0,0
Slovakia,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
Slovakia,1-2,1,2,8,79,8,0,0,0,0.0,0,0,0
Slovenia,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Slovenia,1-2,1,2,12,212,12,0,0,0,0.0,0,0,0
Somalia,0-1,0,1,1,18,1,0,0,0,0.0,0,0,0
Somalia,1-2,1,2,18,74,18,0,0,0,0.0,0,0,0
South Africa,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
South Africa,1-2,1,2,10,52,10,0,0,0,0.0,0,0,0
South Sudan,0-1,0,1,0,10,0,0,0,0,0.0,0,10,0
South Sudan,1-2,1,2,10,78,0,10,10,10,51.5997276608463,0,78,0
Spain,0-1,0,1,1,19,1,0,0,0,0.0,0,0,0
Spain,1-2,1,2,19,52,19,0,0,0,0.0,0,0,0
Sri Lanka,0-1,0,1,1,9,1,0,0,0,0.0,0,0,0
Sri Lanka,1-2,1,2,9,25,9,0,0,0,0.0,0,0,0
Sudan,0-1,0,1,1,18,0,1,1,1,155.98233280837297,0,18,0
Sudan,1-2,1,2,18,188,0,18,18,18,155.98233280837314,0,188,0
Suriname,0-1,0,1,1,10,0,1,1,1,11.800324206336597,0,10,0
Suriname,1-2,1,2,10,62,1,9,9,10,11.388470944575786,0,57,0
Sweden,0-1,0,1,1,21,1,0,0,0,0.0,0,0,0
Sweden,1-2,1,2,21,290,21,0,0,0,0.0,0,0,0
Switzerland,0-1,0,1,1,26,1,0,0,0,0.0,0,0,0
Switzerland,1-2,1,2,26,143,26,0,0,0,0.0,0,0,0
Syrian Arab Republic,0-1,0,1,1,14,1,0,0,0,0.0,0,0,0
Syrian Arab Republic,1-2,1,2,14,62,14,0,0,0,0.0,0,0,0
Tajikistan,0-1,0,1,1,5,1,0,0,0,0.0,0,0,0
Tajikistan,1-2,1,2,5,65,5,0,0,0,0.0,0,0,0
Tanzania,0-1,0,1,1,31,1,0,0,0,0.0,0,0,0
Tanzania,1-2,1,2,31,150,31,0,0,0,0.0,0,0,0
Thailand,0-1,0,1,1,77,0,1,0,0,0,0.0,0,0,0
Thailand,1-2,1,2,77,928,0,77,0,0,0,0.0,0,0,0
Timor-Leste,0-1,0,1,1,13,0,1,1,6,1.2237562497727426,0,13,0
Timor-Leste,1-2,1,2,13,65,0,13,13,17,1.2237562497727525,0,65,0
Togo,0-1,0,1,1,5,1,0,0,0,0.0,0,0,0
Togo,1-2,1,2,5,39,5,0,0,0,0.0,0,0,0
Tonga,0-1,0,1,0,5,0,0,0,0,0.0,0,5,0
Tonga,1-2,1,2,5,23,0,5,0,0,0,0.0,0,0,0
Tunisia,0-1,0,1,1,24,1,0,0,0,0.0,0,0,0
Tunisia,1-2,1,2,24,279,24,0,0,0,0.0,0,0,0
Turkey,0-1,0,1,1,81,1,0,0,0,0.0,0,0,0
Turkey,1-2,1,2,81,973,81,0,0,0,0.0,0,0,0
Uganda,0-1,0,1,1,4,1,0,0,0,0.0,0,0,0
Uganda,1-2,1,2,4,134,4,0,0,0,0.0,0,0,0
Ukraine,0-1,0,1,1,26,1,0,0,0,0.0,0,0,0
Ukraine,1-2,1,2,26,139,26,0,0,0,0.0,0,0,0
United Kingdom,0-1,0,1,1,4,1,0,0,0,0.0,0,0,0
United Kingdom,1-2,1,2,4,218,4,0,0,0,0.0,0,0,0
United States of America,0-1,0,1,1,51,1,0,0,0,0.0,0,0,0
United States of America,1-2,1,2,51,3144,51,0,0,0,0.0,0,0,0
Uzbekistan,0-1,0,1,1,14,1,0,0,0,0.0,0,0,0
Uzbekistan,1-2,1,2,14,198,14,0,0,0,0.0,0,0,0
Vanuatu,0-1,0,1,1,8,0,1,1,124,1.0321719003600909,0,8,0
Vanuatu,1-2,1,2,8,66,2,6,6,67,0.5527933622947796,0,40,0
Venezuela,0-1,0,1,1,25,1,0,0,0,0.0,0,0,0
Venezuela,1-2,1,2,25,345,25,0,0,0,0.0,0,0,0
Viet Nam,0-1,0,1,1,63,1,0,0,0,0.0,0,0,0
Viet Nam,1-2,1,2,63,708,63,0,0,0,0.0,0,0,0
Yemen,0-1,0,1,1,22,1,0,0,0,0.0,0,0,0
Yemen,1-2,1,2,22,333,22,0,0,0,0.0,0,0,0
Zambia,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Zambia,1-2,1,2,10,116,10,0,0,0,0.0,0,0,0
Zimbabwe,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Zimbabwe,1-2,1,2,10,62,10,0,0,0,0.0,0,0,0
